_id,competence,type,question,answer,modification
1,ОПК-4,З,"Выберите случаи обработки персональных данных, когда оператор не обязан получать письменное согласие субъекта на обработку","бронирование гостиницы туристической фирмой|если между оператором и субъектом есть договор, предусматривающий обработку ПД|осуществление доставки почтовых сообщений",cb
2,ОПК-4,З,"Отображение официальных взглядов на цели, задачи, принципы и основные направления обеспечения информационной безопасности РФ содержится в:",Доктрине информационной безопасности Российской Федерации,rb
3,ПК-3,З,Что делает спецсимвол _ в паре с оператором LIKE: select * from Orders where customer_name like mik_;,"найдет все имена, которые начинаются на mik и состоят из 4 символов",rb
4,ПК-11,З,Грубые ошибки:,характеризующиеся большим отклонением от центра группирования выборки,rb
5,ПК-3,З,Выберите корректный пример использования функции CONCAT:,"select concat(`index`,"" "", `city`) from Orders;",rb
6,ПК-3,З,"Выберите корректный пример составленного запроса с использованием JOIN. Данный запрос выведет нам данные ID заказа, имя заказчика и продавца:","select Orders.id, Orders.customer_name, Sellers.id from Orders LEFT JOIN Sellers ON Orders.seller_id = Sellers.id;",rb
7,ПК-3,З,В каких командах можно использовать LIMIT?,"Select, Update, Delete",rb
8,ПК-11,З,Систематические ошибки:,постоянство отклонений при определении каждого члена выборки и зависимость от технического уровня измерительной аппаратуры и техники эксперимента,rb
9,ПК-3,З,Как получить значение текущего года в SQL?,select year(now());,rb
10,ПК-3,З,Выберите правильный пример запроса с использованием UNION:,"select id, city from Orders union select id, city from Sellers order by id;",rb
11,ПК-3,З,"Зачем существует команда UPDATE, если можно сначала удалить запись, а потом добавить новую, исправленную.","Потому что в записи могут быть автоматически проставляемые поля, такие как auto_increment или timestamp, которые собьются при внесении записи заново",rb
12,ОПК-4,З,Как называется попытка реализации угрозы?,атака,rb
13,ОПК-4,З,Что покажет следующий запрос: select * from Orders where date between 2017-01-01 and 2017-12-31,"Все данные по заказам, совершенным за 2017 год",rb
14,ПК-11,З,Выборочная оценка,"это случайная величина, точность определения которой и возможные при этом ошибки необходимо контролировать",rb
15,ОПК-4,З,Обязанность по обеспечению безопасности персональных данных при их обработке полностью возлагается на:,оператора персональных данных,rb
16,ПК-11,З,Первый этап математического моделирования это,"определение законов, связывающих основные объекты модели",rb
17,ПК-3,З,Как сделать несколько записей в таблицу за один запрос?,Перечислить через запятую все наборы значений после VALUES,rb
